"1-500","1-0443","TRICOTAGE FEMME",NULL,"2017-07-28 09:00:02"
"1-502","1-0443","TEE SHIRT FEMME",NULL,"2017-07-28 09:00:02"
"1-504","1-0443","SWEATERIE FEMME",NULL,"2017-07-28 09:00:02"
"1-506","1-0443","SPORTS FEMME",NULL,"2017-07-28 09:00:02"
"1-509","1-0443","LINGERIE FEMME",NULL,"2017-07-28 09:00:02"
"1-511","1-0443","GRANDE TAILLE A PARTIR 44",NULL,"2017-07-28 09:00:02"
"1-516","1-0444","CONFECTION HOMMES",NULL,"2017-07-28 09:00:02"
"1-518","1-0444","CUIR HOMME",NULL,"2017-07-28 09:00:02"
"1-519","1-0444","JEANS HOMME",NULL,"2017-07-28 09:00:02"
"1-521","1-0444","PANTALON HOMME",NULL,"2017-07-28 09:00:02"
"1-523","1-0444","CHEMISE HOMME",NULL,"2017-07-28 09:00:02"
"1-525","1-0444","TRICOTAGE HOMME",NULL,"2017-07-28 09:00:02"
"1-527","1-0444","SWEAT HOMME",NULL,"2017-07-28 09:00:02"
"1-529","1-0444","TEE SHIRT POLO HOMME",NULL,"2017-07-28 09:00:02"
"1-531","1-0444","SPORT HOMME",NULL,"2017-07-28 09:00:02"
"1-533","1-0444","BAIN HOMME",NULL,"2017-07-28 09:00:02"
"1-534","1-0444","NUIT HOMME",NULL,"2017-07-28 09:00:02"
"1-536","1-0444","TRAVAIL HOMME",NULL,"2017-07-28 09:00:02"
"1-537","1-0444","CHASSE ET PECHE",NULL,"2017-07-28 09:00:02"
"1-550","1-0442","CONFECTION FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-551","1-0442","ENSEMBLE FILLE PLAGE 2/16",NULL,"2017-07-28 09:00:02"
"1-552","1-0442","PANTALON FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-553","1-0442","ROBE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-554","1-0442","JUPE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-555","1-0442","CHEMISIER 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-556","1-0442","TRICOT FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-557","1-0442","SWEAT FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-558","1-0442","TEE SHIRT FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-559","1-0442","BAIN FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-560","1-0442","NUIT FILLE 2/16 ANS",NULL,"2017-07-28 09:00:02"
"1-561","1-0442","CONFECTION GARCON 2/16",NULL,"2017-07-28 09:00:02"
"1-562","1-0442","ENSEMBLE GARCON PLAGE 2/1",NULL,"2017-07-28 09:00:02"
